year,month,day,hour,minute,second,northing,easting,depth,latitude,longitude,roll,pitch,heading,altitude,leftimage,rightimage
2009,6,11,6,54,49.38,167.6056206,3.4820279,96.9299192,-42.1453244,148.4820959,0.0464348,0.0243291,-1.5375824,2.0300000,PR_20090611_065449_387_LC16.png,PR_20090611_065449_387_RM16.png
2009,6,11,6,54,50.38,167.2363797,3.5670051,97.0146883,-42.1453277,148.4820970,0.0502132,0.0231963,-1.5260924,2.0000000,PR_20090611_065450_386_LC16.png,PR_20090611_065450_386_RM16.png
2009,6,11,6,54,51.38,166.8690519,3.6383890,97.1112683,-42.1453310,148.4820980,0.0459733,0.0125282,-1.5175205,1.9300000,PR_20090611_065451_388_LC16.png,PR_20090611_065451_388_RM16.png
2009,6,11,6,54,52.38,166.5122852,3.6823319,97.2004636,-42.1453342,148.4820986,0.0381155,0.0051312,-1.5115830,1.7830000,PR_20090611_065452_389_LC16.png,PR_20090611_065452_389_RM16.png
2009,6,11,6,54,53.38,166.1571104,3.7162093,97.2597390,-42.1453374,148.4820991,0.0328573,0.0039489,-1.5117386,1.7450000,PR_20090611_065453_388_LC16.png,PR_20090611_065453_388_RM16.png
2009,6,11,6,54,54.38,165.8067576,3.7655294,97.2778303,-42.1453406,148.4820997,0.0310604,0.0052417,-1.5183708,1.7450000,PR_20090611_065454_388_LC16.png,PR_20090611_065454_388_RM16.png
2009,6,11,6,54,55.38,165.4740934,3.8375875,97.2291819,-42.1453436,148.4821007,0.0292236,0.0065048,-1.5203193,1.7800000,PR_20090611_065455_389_LC16.png,PR_20090611_065455_389_RM16.png
2009,6,11,6,54,56.38,165.1422197,3.9145717,97.1531297,-42.1453465,148.4821017,0.0199525,0.0066389,-1.5221245,1.8420000,PR_20090611_065456_388_LC16.png,PR_20090611_065456_388_RM16.png
2009,6,11,6,54,57.38,164.7969714,3.9997618,97.0813462,-42.1453496,148.4821028,0.0113176,0.0066908,-1.5351098,1.9300000,PR_20090611_065457_385_LC16.png,PR_20090611_065457_385_RM16.png
2009,6,11,6,54,58.38,164.4376940,4.1068577,97.0169188,-42.1453529,148.4821041,0.0129540,0.0012523,-1.5587940,2.0300000,PR_20090611_065458_385_LC16.png,PR_20090611_065458_385_RM16.png
2009,6,11,6,54,59.38,164.0775582,4.2126003,96.9697845,-42.1453561,148.4821055,0.0195999,-0.0035255,-1.5653300,2.0400000,PR_20090611_065459_384_LC16.png,PR_20090611_065459_384_RM16.png
2009,6,11,6,55,0.38,163.6979815,4.3108015,96.9647252,-42.1453595,148.4821068,0.0233024,-0.0010451,-1.5521071,2.0400000,PR_20090611_065500_388_LC16.png,PR_20090611_065500_388_RM16.png
2009,6,11,6,55,1.38,163.3273557,4.3756240,96.9793118,-42.1453628,148.4821076,0.0307225,0.0081330,-1.5348109,2.0180000,PR_20090611_065501_388_LC16.png,PR_20090611_065501_388_RM16.png
2009,6,11,6,55,2.38,162.9670134,4.4291131,97.0118720,-42.1453660,148.4821084,0.0412061,0.0163862,-1.5189226,1.9700000,PR_20090611_065502_383_LC16.png,PR_20090611_065502_383_RM16.png
2009,6,11,6,55,3.38,162.6085877,4.4890099,97.0661035,-42.1453693,148.4821092,0.0465384,0.0178817,-1.5146513,1.9600000,PR_20090611_065503_388_LC16.png,PR_20090611_065503_388_RM16.png
2009,6,11,6,55,4.38,162.2595833,4.5521109,97.1258378,-42.1453724,148.4821100,0.0428444,0.0120905,-1.5198347,1.9080000,PR_20090611_065504_389_LC16.png,PR_20090611_065504_389_RM16.png
2009,6,11,6,55,5.38,161.9168263,4.6397709,97.1635318,-42.1453755,148.4821111,0.0358739,0.0055048,-1.5354491,1.8050000,PR_20090611_065505_388_LC16.png,PR_20090611_065505_388_RM16.png
2009,6,11,6,55,6.39,161.5796208,4.7396999,97.1740783,-42.1453785,148.4821124,0.0313140,0.0002316,-1.5403268,1.8230000,PR_20090611_065506_390_LC16.png,PR_20090611_065506_390_RM16.png
2009,6,11,6,55,7.38,161.2483535,4.8369993,97.1649237,-42.1453815,148.4821137,0.0261425,-0.0024054,-1.5342576,1.8330000,PR_20090611_065507_389_LC16.png,PR_20090611_065507_389_RM16.png
2009,6,11,6,55,8.38,160.9088548,4.9204184,97.1418956,-42.1453845,148.4821147,0.0197796,-0.0028334,-1.5217035,1.8530000,PR_20090611_065508_386_LC16.png,PR_20090611_065508_386_RM16.png
2009,6,11,6,55,9.38,160.5527603,4.9844477,97.1076730,-42.1453877,148.4821156,0.0196527,-0.0013444,-1.5063526,1.8830000,PR_20090611_065509_389_LC16.png,PR_20090611_065509_389_RM16.png
2009,6,11,6,55,10.39,160.1796771,5.0171171,97.0678466,-42.1453911,148.4821161,0.0210396,0.0007047,-1.4925415,1.9380000,PR_20090611_065510_390_LC16.png,PR_20090611_065510_390_RM16.png
2009,6,11,6,55,11.38,159.7924523,5.0382137,97.0332386,-42.1453945,148.4821164,0.0205601,0.0033811,-1.4921771,2.0580000,PR_20090611_065511_388_LC16.png,PR_20090611_065511_388_RM16.png
2009,6,11,6,55,12.39,159.3975516,5.0440384,97.0227269,-42.1453981,148.4821165,0.0185896,0.0035774,-1.4845789,2.0670000,PR_20090611_065512_390_LC16.png,PR_20090611_065512_390_RM16.png
2009,6,11,6,55,13.38,159.0162706,5.0274224,97.0288881,-42.1454015,148.4821164,0.0222415,0.0066435,-1.4684546,2.0080000,PR_20090611_065513_389_LC16.png,PR_20090611_065513_389_RM16.png
2009,6,11,6,55,14.38,158.6238886,5.0009235,97.0428841,-42.1454051,148.4821162,0.0330909,0.0144379,-1.4581874,1.9900000,PR_20090611_065514_387_LC16.png,PR_20090611_065514_387_RM16.png
2009,6,11,6,55,15.38,158.2327321,4.9774219,97.0586029,-42.1454086,148.4821160,0.0426063,0.0207298,-1.4576355,1.9900000,PR_20090611_065515_387_LC16.png,PR_20090611_065515_387_RM16.png
2009,6,11,6,55,16.38,157.8468242,4.9816724,97.0883617,-42.1454121,148.4821161,0.0463020,0.0211893,-1.4678036,1.9400000,PR_20090611_065516_387_LC16.png,PR_20090611_065516_387_RM16.png
2009,6,11,6,55,17.39,157.4699589,5.0172773,97.1331485,-42.1454154,148.4821166,0.0419166,0.0148982,-1.4801092,1.8600000,PR_20090611_065517_390_LC16.png,PR_20090611_065517_390_RM16.png
2009,6,11,6,55,18.39,157.0952988,5.0686392,97.1781189,-42.1454188,148.4821173,0.0337424,0.0101473,-1.4852187,1.8600000,PR_20090611_065518_390_LC16.png,PR_20090611_065518_390_RM16.png
2009,6,11,6,55,19.38,156.7315590,5.1381821,97.1944927,-42.1454221,148.4821182,0.0287914,0.0068709,-1.4935045,1.8420000,PR_20090611_065519_386_LC16.png,PR_20090611_065519_386_RM16.png
2009,6,11,6,55,20.38,156.3730059,5.2041644,97.1890318,-42.1454253,148.4821191,0.0261888,0.0063150,-1.4982708,1.8530000,PR_20090611_065520_387_LC16.png,PR_20090611_065520_387_RM16.png
2009,6,11,6,55,21.38,156.0129766,5.2722813,97.1666855,-42.1454285,148.4821200,0.0218017,0.0051265,-1.5089876,1.9000000,PR_20090611_065521_385_LC16.png,PR_20090611_065521_385_RM16.png
2009,6,11,6,55,22.39,155.6393564,5.3561238,97.1310299,-42.1454319,148.4821211,0.0173304,0.0005838,-1.5271384,1.9900000,PR_20090611_065522_391_LC16.png,PR_20090611_065522_391_RM16.png
2009,6,11,6,55,23.38,155.2702623,5.4548908,97.0664712,-42.1454352,148.4821224,0.0188090,-0.0056443,-1.5314181,2.0800000,PR_20090611_065523_388_LC16.png,PR_20090611_065523_388_RM16.png
2009,6,11,6,55,24.39,154.8851875,5.5345722,97.0163767,-42.1454386,148.4821234,0.0235242,-0.0068739,-1.5105090,2.0850000,PR_20090611_065524_391_LC16.png,PR_20090611_065524_391_RM16.png
2009,6,11,6,55,25.38,154.4763543,5.5687415,96.9840860,-42.1454423,148.4821239,0.0273055,-0.0020024,-1.4704100,2.1180000,PR_20090611_065525_389_LC16.png,PR_20090611_065525_389_RM16.png
2009,6,11,6,55,26.39,154.0637274,5.5519310,96.9677451,-42.1454460,148.4821238,0.0351960,0.0105519,-1.4372029,2.0870000,PR_20090611_065526_391_LC16.png,PR_20090611_065526_391_RM16.png
2009,6,11,6,55,27.38,153.6667006,5.5309532,96.9810749,-42.1454496,148.4821236,0.0461260,0.0221999,-1.4182642,2.0650000,PR_20090611_065527_386_LC16.png,PR_20090611_065527_386_RM16.png
2009,6,11,6,55,28.39,153.2640859,5.5075048,97.0187726,-42.1454532,148.4821234,0.0498653,0.0273445,-1.4111150,2.0300000,PR_20090611_065528_391_LC16.png,PR_20090611_065528_391_RM16.png
2009,6,11,6,55,29.39,152.8750026,5.5183152,97.0805079,-42.1454567,148.4821237,0.0466511,0.0226819,-1.4245302,2.0100000,PR_20090611_065529_390_LC16.png,PR_20090611_065529_390_RM16.png
2009,6,11,6,55,30.39,152.4977981,5.5303411,97.1559279,-42.1454601,148.4821239,0.0412907,0.0127653,-1.4347287,1.9600000,PR_20090611_065530_390_LC16.png,PR_20090611_065530_390_RM16.png
2009,6,11,6,55,31.38,152.1299201,5.5373013,97.2130779,-42.1454634,148.4821240,0.0355939,0.0050002,-1.4455405,1.9200000,PR_20090611_065531_389_LC16.png,PR_20090611_065531_389_RM16.png
2009,6,11,6,55,32.38,151.7641345,5.5506146,97.2461431,-42.1454667,148.4821243,0.0305311,0.0052348,-1.4618521,1.8330000,PR_20090611_065532_388_LC16.png,PR_20090611_065532_388_RM16.png
2009,6,11,6,55,33.39,151.3925262,5.5779098,97.2543547,-42.1454701,148.4821247,0.0253486,0.0081716,-1.4810008,1.8530000,PR_20090611_065533_391_LC16.png,PR_20090611_065533_391_RM16.png
2009,6,11,6,55,34.38,151.0202125,5.6101994,97.2457542,-42.1454734,148.4821252,0.0195880,0.0061920,-1.4958641,1.8530000,PR_20090611_065534_389_LC16.png,PR_20090611_065534_389_RM16.png
2009,6,11,6,55,35.39,150.6444820,5.6483949,97.2300568,-42.1454768,148.4821257,0.0166249,0.0027404,-1.5120589,1.8530000,PR_20090611_065535_391_LC16.png,PR_20090611_065535_391_RM16.png
2009,6,11,6,55,36.39,150.2712344,5.6824316,97.1955087,-42.1454802,148.4821262,0.0216310,0.0023801,-1.5157059,1.8530000,PR_20090611_065536_391_LC16.png,PR_20090611_065536_391_RM16.png
2009,6,11,6,55,37.39,149.9019059,5.7133366,97.1424710,-42.1454835,148.4821266,0.0280800,0.0030815,-1.5109105,1.8730000,PR_20090611_065537_390_LC16.png,PR_20090611_065537_390_RM16.png
