auv_image_name,mod_image_name
PR_20101021_045434_552_LC16,HSthBroad2010_T11j
PR_20101021_045501_085_LC16,HSthBroad2010_T12a
PR_20101021_045526_080_LC16,HSthBroad2010_T12b
PR_20101021_045559_047_LC16,HSthBroad2010_T12c
PR_20101021_045623_065_LC16,HSthBroad2010_T12d
PR_20101021_045652_018_LC16,HSthBroad2010_T12e
PR_20101021_045719_045_LC16,HSthBroad2010_T12f
PR_20101021_045743_009_LC16,HSthBroad2010_T12g
PR_20101021_045807_003_LC16,HSthBroad2010_T12h
PR_20101021_045834_993_LC16,HSthBroad2010_T12i
PR_20101021_045901_982_LC16,HSthBroad2010_T12j
PR_20101021_050406_921_LC16,HSthBroad2010_T13a
PR_20101021_050430_912_LC16,HSthBroad2010_T13b
PR_20101021_050451_870_LC16,HSthBroad2010_T13c
PR_20101021_050511_875_LC16,HSthBroad2010_T13d
PR_20101021_050532_880_LC16,HSthBroad2010_T13e
PR_20101021_050552_847_LC16,HSthBroad2010_T13f
PR_20101021_050613_872_LC16,HSthBroad2010_T13g
PR_20101021_050634_832_LC16,HSthBroad2010_T13h
PR_20101021_050654_840_LC16,HSthBroad2010_T13i
PR_20101021_050717_852_LC16,HSthBroad2010_T13j
PR_20101021_050741_822_LC16,HSthBroad2010_T14a
PR_20101021_050807_819_LC16,HSthBroad2010_T14b
PR_20101021_050831_811_LC16,HSthBroad2010_T14c
PR_20101021_050854_826_LC16,HSthBroad2010_T14d
PR_20101021_050916_808_LC16,HSthBroad2010_T14e
PR_20101021_050938_772_LC16,HSthBroad2010_T14f
PR_20101021_051002_764_LC16,HSthBroad2010_T14g
PR_20101021_051024_750_LC16,HSthBroad2010_T14h
PR_20101021_051049_757_LC16,HSthBroad2010_T14i
PR_20101021_051113_736_LC16,HSthBroad2010_T14j
PR_20101021_051136_726_LC16,HSthBroad2010_T15a
PR_20101021_051201_720_LC16,HSthBroad2010_T15b
PR_20101021_051227_718_LC16,HSthBroad2010_T15c
PR_20101021_051253_715_LC16,HSthBroad2010_T15d
PR_20101021_051319_743_LC16,HSthBroad2010_T15e
PR_20101021_051344_682_LC16,HSthBroad2010_T15f
PR_20101021_051408_673_LC16,HSthBroad2010_T15g
PR_20101021_051433_177_LC16,HSthBroad2010_T15h
PR_20101021_051458_170_LC16,HSthBroad2010_T15i
PR_20101021_051520_211_LC16,HSthBroad2010_T15j
PR_20101021_051543_197_LC16,HSthBroad2010_T16a
PR_20101021_051606_180_LC16,HSthBroad2010_T16b
PR_20101021_051632_154_LC16,HSthBroad2010_T16c
PR_20101021_051658_126_LC16,HSthBroad2010_T16d
PR_20101021_051722_117_LC16,HSthBroad2010_T16e
PR_20101021_051746_110_LC16,HSthBroad2010_T16f
PR_20101021_051808_122_LC16,HSthBroad2010_T16g
PR_20101021_051830_109_LC16,HSthBroad2010_T16h
PR_20101021_051854_102_LC16,HSthBroad2010_T16i
PR_20101021_051918_095_LC16,HSthBroad2010_T16j
PR_20101021_052352_994_LC16,HSthBroad2010_T17a
PR_20101021_052424_991_LC16,HSthBroad2010_T17b
PR_20101021_052454_014_LC16,HSthBroad2010_T17c
PR_20101021_052522_986_LC16,HSthBroad2010_T17d
PR_20101021_052548_969_LC16,HSthBroad2010_T17e
PR_20101021_052613_964_LC16,HSthBroad2010_T17f
PR_20101021_052639_962_LC16,HSthBroad2010_T17g
PR_20101021_052702_978_LC16,HSthBroad2010_T17h
PR_20101021_052727_976_LC16,HSthBroad2010_T17i
PR_20101021_052753_918_LC16,HSthBroad2010_T17j
PR_20101021_052816_907_LC16,HSthBroad2010_T18a
PR_20101021_052840_899_LC16,HSthBroad2010_T18b
PR_20101021_052904_890_LC16,HSthBroad2010_T18c
PR_20101021_052928_882_LC16,HSthBroad2010_T18d
PR_20101021_052951_927_LC16,HSthBroad2010_T18e
PR_20101021_053014_885_LC16,HSthBroad2010_T18f
PR_20101021_053037_876_LC16,HSthBroad2010_T18g
PR_20101021_053100_864_LC16,HSthBroad2010_T18h
PR_20101021_053123_852_LC16,HSthBroad2010_T18i
PR_20101021_053147_844_LC16,HSthBroad2010_T18j
PR_20101021_053212_838_LC16,HSthBroad2010_T19a
PR_20101021_053236_831_LC16,HSthBroad2010_T19b
PR_20101021_053301_824_LC16,HSthBroad2010_T19c
PR_20101021_053326_323_LC16,HSthBroad2010_T19d
PR_20101021_053349_311_LC16,HSthBroad2010_T19e
PR_20101021_053412_317_LC16,HSthBroad2010_T19f
PR_20101021_053434_285_LC16,HSthBroad2010_T19g
PR_20101021_053457_279_LC16,HSthBroad2010_T19h
PR_20101021_053519_283_LC16,HSthBroad2010_T19i
PR_20101021_053541_290_LC16,HSthBroad2010_T19j
PR_20101021_053603_255_LC16,HSthBroad2010_T20a
