auv_image_name,mod_image_name
PR_20101021_075017_215_LC16,HSthBroad2010_T48j
PR_20101021_075042_183_LC16,HSthBroad2010_T49a
PR_20101021_075108_180_LC16,HSthBroad2010_T49b
PR_20101021_075131_180_LC16,HSthBroad2010_T49c
PR_20101021_075153_180_LC16,HSthBroad2010_T49d
PR_20101021_075216_172_LC16,HSthBroad2010_T49e
PR_20101021_075241_166_LC16,HSthBroad2010_T49f
PR_20101021_075305_190_LC16,HSthBroad2010_T49g
PR_20101021_075330_130_LC16,HSthBroad2010_T49h
PR_20101021_075356_128_LC16,HSthBroad2010_T49i
PR_20101021_075420_122_LC16,HSthBroad2010_T49j
PR_20101021_075443_112_LC16,HSthBroad2010_T50a
PR_20101021_075514_108_LC16,HSthBroad2010_T50b
PR_20101021_075542_105_LC16,HSthBroad2010_T50c
PR_20101021_075607_101_LC16,HSthBroad2010_T50d
PR_20101021_075634_077_LC16,HSthBroad2010_T50e
PR_20101021_075707_081_LC16,HSthBroad2010_T50f
PR_20101021_075731_075_LC16,HSthBroad2010_T50g
PR_20101021_075758_065_LC16,HSthBroad2010_T50h
PR_20101021_075822_058_LC16,HSthBroad2010_T50i
PR_20101021_075850_035_LC16,HSthBroad2010_T50j
PR_20101021_075917_038_LC16,HSthBroad2010_T51a
PR_20101021_075940_026_LC16,HSthBroad2010_T51b
PR_20101021_080002_013_LC16,HSthBroad2010_T51c
PR_20101021_080027_009_LC16,HSthBroad2010_T51d
PR_20101021_080049_020_LC16,HSthBroad2010_T51e
PR_20101021_080118_001_LC16,HSthBroad2010_T51f
PR_20101021_080145_002_LC16,HSthBroad2010_T51g
PR_20101021_080206_990_LC16,HSthBroad2010_T51h
PR_20101021_080232_986_LC16,HSthBroad2010_T51i
PR_20101021_080256_979_LC16,HSthBroad2010_T51j
